BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2026-06-02,620.0,638.0,600.0,7933,4788280.2,71
2026-06-01,625.0,642.0,615.1,674,422493.4,18
2026-05-27,634.6,660.0,625.0,1697,1070801.9,32
2026-05-26,629.9,630.9,621.0,1650,1033042.9,24
2026-05-25,625.0,640.0,617.2,618,387385.0,23
2026-05-22,625.0,634.0,615.0,2153,1337817.0,33
2026-05-21,633.5,633.5,617.0,1201,748440.0,30
2026-05-20,630.0,644.0,604.0,3048,1903665.7,38
2026-05-19,613.0,618.0,600.1,1733,1050057.7,32
2026-05-18,615.0,615.0,600.0,3053,1844322.5,41
2026-05-15,617.8,629.3,601.1,2213,1342563.6,40
2026-05-14,632.9,640.0,607.1,4399,2686086.5,52
2026-05-13,628.8,630.0,618.5,2274,1411062.8,30
2026-05-12,640.0,644.0,615.0,2803,1751634.6,45
2026-05-11,645.0,648.5,621.0,3511,2225324.1,53
2026-05-08,640.0,649.0,620.0,2836,1780772.5,38
2026-05-07,639.0,660.0,613.2,1430,897178.9,32
2026-05-06,647.0,669.0,630.5,1187,762293.4,41
2026-05-05,650.0,692.0,598.5,1119,706375.3,40
2026-05-04,630.0,635.0,625.0,1812,1138308.0,22
2026-04-30,645.0,660.0,616.0,1999,1255843.9,34
2026-04-29,649.0,649.0,630.0,1835,1165314.0,42
2026-04-28,650.0,655.0,630.5,1571,1007645.6,43
2026-04-27,656.0,676.5,651.0,2649,1734486.5,40
2026-04-24,660.0,673.9,640.0,2208,1428458.6,51
2026-04-23,668.0,675.0,654.8,6295,4146907.5,54
2026-04-22,675.0,685.0,651.0,5865,3942942.0,62
2026-04-21,680.0,690.0,669.3,2414,1637810.4,33
2026-04-20,690.0,722.4,630.9,2018,1385906.0,45
2026-04-17,688.0,694.7,681.1,1413,967289.0,26
2026-04-16,695.0,707.9,682.0,2122,1455392.2,28
2026-04-15,699.0,706.0,690.0,2001,1388830.9,45
2026-04-13,698.0,711.0,690.0,997,693803.8,26
2026-04-10,700.0,717.0,684.9,4809,3328522.5,65
2026-04-09,713.0,750.0,682.0,4055,2861728.0,58
2026-04-08,694.9,704.0,668.0,1914,1319316.4,31
2026-04-07,681.0,710.0,680.1,1521,1055612.0,19
2026-04-06,689.5,693.8,660.2,5162,3519967.5,67
2026-04-05,657.0,697.0,657.0,4703,3161983.0,72
2026-04-02,697.0,713.0,690.0,4017,2784907.9,48
2026-04-01,703.9,722.0,693.9,5618,3925590.4,59
2026-03-31,719.0,723.0,696.0,3271,2296346.4,70
2026-03-30,712.0,771.0,696.1,5983,4223632.0,92
2026-03-29,714.0,742.5,708.0,13046,9306277.3,116
2026-03-26,737.0,739.9,715.1,5737,4207246.4,63
2026-03-25,728.9,730.0,710.5,5628,4036096.6,85
2026-03-24,725.0,734.9,723.0,8042,5830463.8,66
2026-03-23,734.8,743.9,726.0,7393,5387728.0,79
2026-03-22,732.0,740.0,717.4,10127,7366907.3,108
2026-03-19,732.0,738.6,710.0,10201,7392130.1,112
2026-03-17,725.0,744.4,708.0,10688,7664318.1,115
2026-03-16,729.9,754.7,720.0,7360,5359724.1,106
2026-03-15,742.3,759.9,725.0,8889,6532027.0,92
2026-03-12,753.9,765.0,736.0,5271,3943799.5,74
2026-03-11,759.8,783.3,740.0,5677,4320014.0,75
2026-03-10,768.9,804.0,735.0,13868,1.04964612E7,152
2026-03-09,789.0,789.0,744.3,220,167457.0,14
2026-03-03,729.8,744.9,706.1,4161,2986186.1,77
2026-03-01,703.0,720.0,701.0,5632,3985412.1,59
2026-02-26,714.0,735.0,710.1,2540,1827391.0,62
2026-02-25,708.8,723.8,700.0,3579,2518805.2,47
2026-02-24,710.3,721.0,707.0,1493,1063738.0,26
2026-02-23,710.0,722.7,699.1,11294,8020787.2,65
2026-02-22,723.0,739.0,708.2,5213,3738569.5,57
2026-02-17,743.9,816.0,726.0,7131,5277801.4,109
2026-02-16,800.0,804.0,721.0,14701,1.09006595E7,164
2026-02-12,739.5,750.0,725.0,8767,6458376.7,92
2026-02-11,747.0,768.0,715.2,5814,4278009.7,85
2026-02-10,753.0,760.0,735.0,4257,3192059.8,55
2026-02-09,759.9,779.9,746.0,10732,8062873.1,66
2026-02-08,769.9,780.0,763.0,11482,8852184.0,117
2026-02-05,755.0,781.4,740.0,8913,6772848.8,114
2026-02-04,766.9,779.0,745.0,5208,3940418.9,67
2026-02-03,770.0,805.6,761.0,11370,8752557.0,107
2026-02-02,789.9,824.0,775.1,9249,7274078.0,112
2026-02-01,797.0,820.9,777.7,11692,9208218.8,128
2026-01-29,804.9,824.6,780.0,23939,1.9143823E7,176
2026-01-28,825.0,850.0,795.0,26000,2.13115723E7,160
2026-01-27,847.0,856.8,823.2,29354,2.46490015E7,246
2026-01-26,840.0,865.0,810.0,30052,2.48630999E7,237
2026-01-25,820.0,840.0,808.0,13821,1.12955143E7,150
2026-01-22,825.0,830.0,783.0,9432,7713611.5,135
2026-01-21,822.4,865.0,821.0,17163,1.42618925E7,162
2026-01-20,849.0,874.6,804.4,35932,3.06104348E7,321
2026-01-18,820.8,825.0,801.0,10160,8280620.8,144
2026-01-14,817.0,824.9,801.6,13667,1.11080193E7,129
2026-01-13,816.0,828.0,795.0,15846,1.28966519E7,136
2026-01-12,811.2,832.0,811.2,6781,5536261.3,89
2026-01-08,829.0,833.0,811.0,13864,1.13548864E7,95
2026-01-07,834.0,854.9,822.0,4916,4075287.5,84
2026-01-06,840.0,852.0,805.0,11682,9759174.0,155
